source,target,type,weight
6,7,KEGG,2
11,12,KEGG,2
8,29,KEGG,2
30,31,KEGG,2
18,33,KEGG,2
25,37,KEGG,2
6,43,KEGG,2
13,88,KEGG,2
29,88,KEGG,2
48,95,KEGG,2
94,95,KEGG,2
96,97,KEGG,2
9,98,KEGG,2
18,98,KEGG,2
96,98,KEGG,2
97,98,KEGG,2
98,99,KEGG,2
56,101,KEGG,2
95,105,KEGG,2
96,108,KEGG,2
18,109,KEGG,2
33,109,KEGG,2
98,109,KEGG,2
108,109,KEGG,2
88,116,KEGG,2
29,117,KEGG,2
116,117,KEGG,2
29,118,KEGG,2
117,118,KEGG,2
34,124,KEGG,2
22,129,KEGG,2
46,131,KEGG,2
131,134,KEGG,2
134,135,KEGG,2
14,136,KEGG,2
49,136,KEGG,2
115,136,KEGG,2
95,139,KEGG,2
117,140,KEGG,2
134,140,KEGG,2
6,143,KEGG,2
2,3,Tanimoto,0.8695652174
2,14,Tanimoto,0.8
3,14,Tanimoto,0.8863636364
2,16,Tanimoto,0.8510638298
3,16,Tanimoto,0.8541666667
14,16,Tanimoto,0.75
9,18,Tanimoto,0.9230769231
1,22,Tanimoto,0.8933333333
13,29,Tanimoto,0.847826087
9,30,Tanimoto,0.7307692308
18,30,Tanimoto,0.8
2,31,Tanimoto,0.8695652174
3,31,Tanimoto,1
14,31,Tanimoto,0.8863636364
16,31,Tanimoto,0.8541666667
15,32,Tanimoto,0.9
30,32,Tanimoto,0.75
9,33,Tanimoto,0.9090909091
30,33,Tanimoto,0.7272727273
15,38,Tanimoto,0.7037037037
35,40,Tanimoto,0.8333333333
15,44,Tanimoto,0.9
30,44,Tanimoto,0.75
32,44,Tanimoto,1
23,45,Tanimoto,0.9487179487
23,47,Tanimoto,1
45,47,Tanimoto,0.9487179487
23,50,Tanimoto,0.7647058824
45,50,Tanimoto,0.7254901961
47,50,Tanimoto,0.7647058824
13,51,Tanimoto,0.7058823529
29,51,Tanimoto,0.7021276596
51,52,Tanimoto,0.701754386
2,56,Tanimoto,0.7692307692
3,56,Tanimoto,0.88
14,56,Tanimoto,0.78
16,56,Tanimoto,0.862745098
31,56,Tanimoto,0.88
34,56,Tanimoto,0.7121212121
13,57,Tanimoto,0.7037037037
51,57,Tanimoto,0.7058823529
9,59,Tanimoto,1
18,59,Tanimoto,0.9230769231
30,59,Tanimoto,0.7307692308
33,59,Tanimoto,0.9090909091
9,60,Tanimoto,0.9090909091
18,60,Tanimoto,0.9090909091
30,60,Tanimoto,0.7272727273
33,60,Tanimoto,1
59,60,Tanimoto,0.9090909091
2,61,Tanimoto,0.7843137255
3,61,Tanimoto,0.8979591837
14,61,Tanimoto,0.7959183673
16,61,Tanimoto,0.88
31,61,Tanimoto,0.8979591837
34,61,Tanimoto,0.7230769231
56,61,Tanimoto,0.98
9,63,Tanimoto,0.7352941176
33,63,Tanimoto,0.7571428571
59,63,Tanimoto,0.7352941176
60,63,Tanimoto,0.7571428571
9,64,Tanimoto,1
18,64,Tanimoto,0.9230769231
30,64,Tanimoto,0.7307692308
33,64,Tanimoto,0.9090909091
59,64,Tanimoto,1
60,64,Tanimoto,0.9090909091
63,64,Tanimoto,0.7352941176
2,66,Tanimoto,0.7608695652
3,66,Tanimoto,0.8444444444
14,66,Tanimoto,0.95
16,66,Tanimoto,0.7142857143
31,66,Tanimoto,0.8444444444
56,66,Tanimoto,0.7450980392
61,66,Tanimoto,0.76
2,69,Tanimoto,1
3,69,Tanimoto,0.8695652174
14,69,Tanimoto,0.8
16,69,Tanimoto,0.8510638298
31,69,Tanimoto,0.8695652174
56,69,Tanimoto,0.7692307692
61,69,Tanimoto,0.7843137255
66,69,Tanimoto,0.7608695652
23,71,Tanimoto,0.7450980392
45,71,Tanimoto,0.74
47,71,Tanimoto,0.7450980392
50,71,Tanimoto,0.9803921569
23,72,Tanimoto,0.7647058824
45,72,Tanimoto,0.7254901961
47,72,Tanimoto,0.7647058824
50,72,Tanimoto,1
71,72,Tanimoto,0.9803921569
9,73,Tanimoto,0.8333333333
18,73,Tanimoto,0.9038461538
30,73,Tanimoto,0.8163265306
33,73,Tanimoto,0.8245614035
59,73,Tanimoto,0.8333333333
60,73,Tanimoto,0.8245614035
64,73,Tanimoto,0.8333333333
23,75,Tanimoto,0.9487179487
45,75,Tanimoto,1
47,75,Tanimoto,0.9487179487
50,75,Tanimoto,0.7254901961
71,75,Tanimoto,0.74
72,75,Tanimoto,0.7254901961
1,76,Tanimoto,0.9718309859
22,76,Tanimoto,0.8947368421
14,77,Tanimoto,0.725
66,77,Tanimoto,0.725
2,78,Tanimoto,0.8
3,78,Tanimoto,0.8863636364
14,78,Tanimoto,1
16,78,Tanimoto,0.75
31,78,Tanimoto,0.8863636364
56,78,Tanimoto,0.78
61,78,Tanimoto,0.7959183673
66,78,Tanimoto,0.95
69,78,Tanimoto,0.8
77,78,Tanimoto,0.725
13,79,Tanimoto,0.7037037037
51,79,Tanimoto,0.7058823529
57,79,Tanimoto,0.7037037037
70,79,Tanimoto,0.8039215686
2,83,Tanimoto,0.7843137255
3,83,Tanimoto,0.8979591837
14,83,Tanimoto,0.7959183673
16,83,Tanimoto,0.88
31,83,Tanimoto,0.8979591837
34,83,Tanimoto,0.7230769231
56,83,Tanimoto,0.98
61,83,Tanimoto,1
66,83,Tanimoto,0.76
69,83,Tanimoto,0.7843137255
78,83,Tanimoto,0.7959183673
13,85,Tanimoto,0.8163265306
29,85,Tanimoto,0.7826086957
51,85,Tanimoto,0.7142857143
57,85,Tanimoto,0.7115384615
70,85,Tanimoto,0.7115384615
79,85,Tanimoto,0.7115384615
49,87,Tanimoto,0.72
77,87,Tanimoto,0.8
15,89,Tanimoto,0.7272727273
9,90,Tanimoto,0.96
18,90,Tanimoto,0.96
30,90,Tanimoto,0.76
33,90,Tanimoto,0.8727272727
59,90,Tanimoto,0.96
60,90,Tanimoto,0.8727272727
63,90,Tanimoto,0.7058823529
64,90,Tanimoto,0.96
73,90,Tanimoto,0.8653846154
