"ID","Species","Treatment","variable","value","metabName","treat"
"P07","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",28,"zymosterol","fresh"
"P08","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",70,"zymosterol","fresh"
"P09","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",43,"zymosterol","fresh"
"P10","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",139,"zymosterol","fresh"
"P11","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",42,"zymosterol","fresh"
"P12","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",112,"zymosterol","fresh"
"T07","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",71,"zymosterol","fresh"
"T08","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",1133,"zymosterol","fresh"
"T09","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",597,"zymosterol","fresh"
"T10","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",163,"zymosterol","fresh"
"T11","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",1198,"zymosterol","fresh"
"T12","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","1",1111,"zymosterol","fresh"
"P19","pumpkin","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",60,"zymosterol","lyoph"
"P20","pumpkin","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",98,"zymosterol","lyoph"
"P21","pumpkin","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",100,"zymosterol","lyoph"
"P22","pumpkin","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",82,"zymosterol","lyoph"
"P23","pumpkin","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",159,"zymosterol","lyoph"
"P24","pumpkin","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",86,"zymosterol","lyoph"
"T19","tomatillo","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",1079,"zymosterol","lyoph"
"T20","tomatillo","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",160,"zymosterol","lyoph"
"T21","tomatillo","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",108,"zymosterol","lyoph"
"T22","tomatillo","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",138,"zymosterol","lyoph"
"T23","tomatillo","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",215,"zymosterol","lyoph"
"T24","tomatillo","MeOH:CHCl3:H2O (5:2:2) - lyophilized","1",1464,"zymosterol","lyoph"
"P07","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",2896,"xylose","fresh"
"P08","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",1375,"xylose","fresh"
"P09","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",2231,"xylose","fresh"
"P10","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",2372,"xylose","fresh"
"P11","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",2792,"xylose","fresh"
"P12","pumpkin","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",997,"xylose","fresh"
"T07","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",7212,"xylose","fresh"
"T08","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",10712,"xylose","fresh"
"T09","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",4989,"xylose","fresh"
"T10","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",5243,"xylose","fresh"
"T11","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",4266,"xylose","fresh"
"T12","tomatillo","MeOH:CHCl3:H2O (5:2:2) - fresh frozen","2",5162,"xylose","fresh"
