Index,name,combined.selection,direction,sig dir,size FC,size log FC,size LV,log mean Pumpkin,log mean Tomatillo
1,zymosterol,,increase,increase,6.298,0.863203859,0.0721910417,1.928992938,2.7922165354
2,xylose,,increase,increase,1.276,0.3571722577,0.0863978876,3.4406992273,3.7979481177
3,xylonic acid,,decrease,decrease,2.1739130435,0.5015950241,0.0943539181,3.1696744341,2.83272175
4,valine,,increase,increase,0.639,0.2145789536,0.0698743397,4.1661956835,4.3808155159
5,urea,,increase,increase,0.573,0.1967287226,0.053811967,3.2125648948,3.4093976705
6,tyrosine,,increase,increase,1.956,0.4707044297,0.0841605805,3.475004953,3.9457721241
7,tyramine,,decrease,decrease,1.6447368421,0.4223824651,0.0663597405,3.9177548816,3.7018485022
8,tryptophan,,increase,increase,56.355,1.7585712841,0.1007623276,3.3319837277,5.0905569465
9,trehalose,,decrease,decrease,19.6078431373,1.3140325399,0.1108827679,4.617743635,3.3287702248
10,"trans-3,5-dimethoxy-4-hydroxycinnamaldehyde",,increase,increase,19.446,1.3106083565,0.1075701905,1.98788961,3.2985073947
11,tocopherol beta NIST,,increase,NULL,0.018,0.007747778,0.0092238152,2.6983905586,2.7060773873
12,tocopherol alpha,,increase,increase,3.767,0.6782451519,0.1082282303,4.0215786108,4.69980594
13,threonine,,increase,NULL,0.038,0.0161973535,0.0025501974,3.9781196232,3.9944381399
14,threonic acid,,decrease,decrease,5,0.7781512504,0.1040097186,4.5119301286,3.8131360147
15,threitol,,increase,increase,2.684,0.5663196215,0.1088022554,2.9173304261,3.4836229519
16,tagatose,,increase,increase,6.002,0.8452221064,0.1104009602,2.829035607,3.6742715816
17,sulfuric acid,,increase,NULL,49.931,1.7069822034,0.0438439859,1.480725379,3.1877086864
18,sucrose,,increase,NULL,0.016,0.0068937079,5.95109445848077E-005,5.4570893811,5.4639483294
19,succinic acid,,increase,increase,2.883,0.5891673905,0.0983987489,3.3882344548,3.9773920435
20,succinate semialdehyde,,increase,NULL,0.048,0.0203612826,0.0061206079,2.298125005,2.3185850101
21,suberyl glycine,,decrease,decrease,5.7142857143,0.8269998179,0.0901965738,2.5954962218,1.8377988013
22,stigmasterol,,increase,increase,3.051,0.6075622432,0.0743278428,2.5145477527,3.1221066081
23,stearic acid,,increase,NULL,0.1,0.0413926852,0.0165672769,4.3709862319,4.4122841057
24,squalene,,increase,increase,3.372,0.6406801533,0.1083076146,2.560803002,3.2015109182
25,spermidine,,increase,increase,0.84,0.264817823,0.0648415939,2.8058971381,3.0707764628
26,sorbitol,,increase,increase,1.953,0.470263447,0.1041621369,3.2979974669,3.7681877898
27,sophorose,,increase,increase,5.096,0.7850449583,0.1108995598,2.9930686516,3.7781150577
28,shikimic acid,,decrease,decrease,10.5263157895,1.0616905139,0.1007622511,4.1829825922,3.1610184292
29,serine,,decrease,decrease,4.9019607843,0.7709963195,0.1010568622,4.8930512234,4.2025132915
30,ribose,,increase,increase,0.614,0.2079035304,0.0657865168,2.5256925245,2.7336652909
31,ribonic acid,,decrease,decrease,1.4771048744,0.3939443939,0.0616005318,3.0727093227,2.9035421416
32,ribitol,,increase,increase,10.179,1.0484029562,0.0958545874,3.3645040928,4.4128999397
33,raffinose,,decrease,decrease,76.9230769231,1.8916660931,0.1116630185,5.4897361218,3.6037576556
34,quinic acid,,increase,increase,419.219,2.6234756849,0.0617516636,2.1818435879,4.8053195811
35,pyrophosphate,,decrease,decrease,1.8656716418,0.457226426,0.0845133189,3.2752921545,3.0046079422
36,"pyrazine 2,5-dihydroxy  NIST",,decrease,NULL,1.3440860215,0.3699735451,0.0361922049,3.1696499468,3.0409318254
37,putrescine,,increase,increase,3.293,0.6327608885,0.0874417778,3.4806775202,4.1134614636
38,"propane-1,3-diol NIST",,increase,NULL,0.115,0.0472748674,0.0255724854,3.3369764436,3.3843534141
39,phytol,,decrease,decrease,2.0491803279,0.4841831092,0.1021247815,4.2788374041,3.9670406912
40,phosphoric acid,,increase,increase,17.454,1.2660905163,0.1035226323,3.4863360054,4.7524249294
41,phenylethylamine,,increase,increase,1.915,0.4646385591,0.0665322621,2.2415879823,2.7062197789
42,phenylethanol NIST ,,increase,increase,4.647,0.7518177877,0.082883486,1.6564176537,2.4082399653
43,phenylalanine,,increase,increase,1.271,0.3562171342,0.0878506913,3.4215765084,3.7778072978
44,pentitol,,decrease,NULL,1.0298661174,0.3074673944,0.0019829587,3.3190539825,3.3063177811
45,pelargonic acid,,increase,NULL,0.015,0.0064660422,0.00113872,3.4619360024,3.4685688527
46,pantothenic acid,,increase,increase,1.714,0.4336098433,0.0986442798,3.3516835972,3.7852170937
47,palmitic acid,,decrease,NULL,1.0834236186,0.3187775832,0.0256616974,3.9381943828,3.9034698285
48,oxoproline,,increase,increase,0.297,0.1129399761,0.0523488837,4.9653894783,5.0783114851
49,oxalic acid,,increase,increase,2.813,0.5812668053,0.0890175362,3.7324004618,4.3136932569
50,oleic acid,,decrease,decrease,2.5188916877,0.5464058994,0.0739582074,2.9012766462,2.5006023506
51,N-methylalanine,,decrease,NULL,1.3404825737,0.3693054119,0.0377981834,2.8022604759,2.6751670897
52,nicotianamine,,decrease,decrease,2.8328611898,0.5835230912,0.0935549503,3.0928375634,2.6403157706
53,N-acetylmannosamine,,increase,increase,3.381,0.6415732532,0.1084284836,3.9942511455,4.6358555528
54,N-acetyl-D-hexosamine,,increase,increase,1.57,0.4099331233,0.0727400984,3.7788684501,4.1888488324
55,myristic acid,,increase,NULL,0.013,0.0056094454,0.0007343255,3.231639469,3.23714562
56,mucic acid,,increase,NULL,1.026,0.306639441,0.0403878214,2.1975102828,2.5041309059
57,methionine,,decrease,decrease,2.7173913043,0.5702382787,0.0987722218,3.1278064487,2.6936536812
58,methanolphosphate,,increase,increase,2.788,0.5784099703,0.05895819,2.6585678278,3.2369569103
59,melibiose,,increase,increase,0.864,0.270445908,0.0905109582,2.7553666116,3.0258177033
60,melezitose,,decrease,decrease,2.8011204482,0.5799116315,0.1062323778,2.9183361934,2.4705574852
